Deutsch,English,wk,freq
niemand,no one,0,56907
sofort,immediately,0,56605
bevor,before,0,56210
jahre,years,0,56075
einmal,once,0,55398
problem,problem,0,54783
sohn,son,0,54396
wann,When,0,54105
brauche,need,0,53799
fertig,complete,0,53738
halt,stop,0,53723
allein,alone,0,53720
beim,at the,0,53673
sprechen,speak,0,53232
beide,both,0,53120
gefunden,found,0,53083
hatten,had,0,53008
sache,matter,0,52830
hilfe,help,0,52679
verdammt,damned,0,52499
ne,no,0,52438
jeder,everyone,0,52254
warst,were,0,52211
gern,gladly,0,52147
konnte,could,0,51818
darüber,about it,0,51711
halten,hold,0,51690
siehst,see,0,51444
verstehe,understand,0,51294
jahren,years,0,51158
kam,came,0,51041
kind,child,0,50922
wusste,knew,0,50878
wahr,true,0,50700
seinen,his,0,50311
dazu,in addition,0,50144
bruder,brother,0,50137
daran,to it,0,50081
ihrem,theirs,0,50046
denken,think,0,49912
könnten,could,0,49708
dank,thanks to,0,49155
würden,would,0,49143
lieber,Dear,0,49123
fall,case,0,49042
deiner,yours,0,48756
sehe,see,0,48293
egal,doesn't matter,0,48287
kennen,know,0,48114
deinem,yours,0,48010
vergessen,forget,0,47889
frage,ask,0,47512
mache,make,0,47510
komme,come,0,47282
sage,saw,0,47197
mag,likes,0,47150
sieh,see,0,47133
echt,real,0,46884
gib,give,0,46863
eigentlich,actually,0,46744
jeden,every,0,46594
dad,dad,0,46472
gab,gave,0,46178
uhr,clock,0,46117
stadt,city,0,45812
männer,men,0,45451
baby,baby,0,45434
fahren,drive,0,45060
namen,names,0,44998
bekommen,receive,0,44852
kopf,head,0,44851
hi,hi,0,44653
gehe,go,0,44502
kleine,small,0,44338
später,later,0,44320
glück,happiness,0,44295
letzte,last,0,44246
freunde,friends,0,43913
n,n,0,43890
all,all,0,43808
darauf,on it,0,43236
ende,end,0,43216
dr.,dr.,0,42899
bald,soon,0,42834
töten,kill,0,42735
dinge,things,0,42560
meinst,mean,0,42522
toll,great,0,42438
eins,one,0,42157
minuten,minutes,0,42139
vielen,many,0,42047
bereit,ready,0,41925
weit,far,0,41558
ahnung,idea,0,41525
seiner,his,0,41478
bisschen,a little,0,41471
tür,door,0,41457
auto,car,0,41372
jungs,guys,0,40783
eure,your,0,40647
augen,eyes,0,40593
polizei,police,0,40572
stehen,stand,0,40469
sterben,die,0,40334
hätten,would have,0,40190
draußen,outside,0,40075
kenne,know,0,39750
fast,almost,0,39542
runter,down,0,39290
vorbei,over,0,38763
treffen,meet,0,38758
gerne,gladly,0,38739
dran,your turn,0,38593
wurden,became,0,38564
arbeiten,work,0,38510
mom,mom,0,38250
verrückt,crazy,0,38126
neue,new,0,38119
ging,went,0,38051
hinter,behind,0,37964
sorgen,care for,0,37844
einzige,only,0,37724
jemanden,someone,0,37451
darum,therefore,0,37424
tochter,daughter,0,37375
braucht,needs,0,37187
idee,idea,0,37181
schwester,sister,0,37032
drin,inside,0,36941
ruhig,quiet,0,36940
sah,saw,0,36936
ganzen,entire,0,36929
spät,late,0,36834
ziemlich,quite,0,36820
solltest,should,0,36770
name,name,0,36668
sogar,even,0,36650
kurz,short,0,36629
kerl,guy,0,36512
frauen,women,0,36457
liegt,lies,0,36313
suchen,seek,0,36294
finde,find,0,36286
je,ever,0,36205
woher,from where,0,36061
lang,long,0,36029
job,job,0,35995
keiner,none,0,35951
seinem,his,0,35907
hört,hears,0,35796
verstehen,understand,0,35693
spielen,play,0,35600
s.,s.,0,35596
überhaupt,at all,0,35566
teufel,devil,0,35421
verstanden,understood,0,35353
verloren,lost,0,35282
große,size,0,35255
hand,hand,0,35247
grund,reason,0,35243
jahr,year,0,35092
kommst,come,0,34951
mama,mama,0,34883
ruhe,quiet,0,34794
gewesen,been,0,34766
tod,death,0,34408
stunden,hours,0,34244
hoffe,hope,0,34207
denkst,think,0,34170
oben,above,0,34115
gestern,yesterday,0,34095
versuchen,attempt,0,34093
art,Art,0,34062
letzten,last,0,34029
schatz,treasure,0,34026
endlich,finally,0,33924
he,hey,0,33922
nimm,take,0,33866
etwa,approximately,0,33845
erzählt,told,0,33821
läuft,running,0,33798
schwer,difficult,0,33640
anders,different,0,33554
miss,miss,0,33536
musste,had to,0,33428
fünf,five,0,33424
wasser,water,0,33387
lässt,lets,0,33377
erste,first,0,33254
versucht,tried,0,33190
gekommen,came,0,33073
geschichte,story,0,33070
wenig,few,0,33015
holen,fetch,0,32820
bedeutet,means,0,32688
nett,nice,0,32685
wahrheit,truth,0,32627
woche,week,0,32543
bringt,brings,0,32528
deshalb,for this reason,0,32451
welche,which,0,32349
bestimmt,certainly,0,32232
hoch,high,0,32147
alter,age,0,32101
sagst,say,0,32048
schau,look,0,32038
ah,uh,0,31832
land,country,0,31728
zimmer,room,0,31727
wagen,dare,0,31434
vier,four,0,31390
gefallen,fallen,0,31368
spaß,fun,0,31361
niemals,never,0,31303
schuld,fault,0,31228
getötet,killed,0,31223
wollten,wanted,0,31158
verlassen,leave,0,31021
zeigen,show,0,30869
beste,best,0,30671
ernst,serious,0,30649
unserer,ours,0,30644
denen,those,0,30608
ort,location,0,30562
bleibt,remains,0,30520
würdest,would,0,30516
manchmal,sometimes,0,30500
glaubst,believe,0,30407
seite,page,0,30345
lasst,let,0,30331
zwischen,between,0,30326
eben,even,0,30288
während,while,0,30284
spiel,game,0,30057
nehme,take,0,30019
ersten,first,0,29956
guter,goods,0,29956
chance,chance,0,29888
freundin,girlfriend,0,29850
krieg,war,0,29815
gefällt,pleases,0,29665
kleinen,small,0,29378
erzählen,tell,0,29301
anderes,other,0,29170
tage,days,0,29111
entschuldigen,excuse,0,29089
wichtig,important,0,29007
gehst,go,0,28954
allen,everyone,0,28945
bett,bed,0,28931
mrs.,mrs.,0,28822
sachen,things,0,28679
the,the,0,28674
schlecht,bad,0,28460
schule,school,0,28409
entschuldigung,excuse,0,28406
wort,word,0,28327
john,John,0,28291
hättest,would have,0,28253
wären,would be,0,28193
typ,type,0,27983
schlafen,sleep,0,27946
äh,uh,0,27883
tu,do,0,27733
euer,your,0,27634
captain,captain,0,27491
gesicht,face,0,27489
falls,if,0,27447
neuen,new,0,27364
bloß,just,0,27288
unten,below,0,27259
teil,part,0,27243
beiden,both,0,27228
mensch,person,0,27093
kleiner,smaller,0,27048
stellen,place,0,26821
oft,often,0,26820
sorge,worries,0,26812
gedacht,thought,0,26691
tust,do,0,26635
trinken,drink,0,26484
einige,some,0,26477
dies,this,0,26436
ding,thing,0,26389
unseren,ours,0,26378
kriegen,get,0,26366
blut,blood,0,26293
ehrlich,honest,0,26290
eltern,parents,0,26221
scheint,appears,0,26026
herz,heart,0,26008
jack,Jack,0,25967
glücklich,happy,0,25915
alte,old ones,0,25827
alt,old,0,25682
bleib,stay,0,25656
wiedersehen,see you again,0,25645
frei,free,0,25635
wen,who,0,25569
drauf,on it,0,25564
möglich,possible,0,25388
irgendwie,somehow,0,25378
reicht,suffices,0,25343
fest,firmly,0,25199
besten,best,0,25164
waffe,weapon,0,25140
kaum,barely,0,25058
irgendwas,something,0,24950
klingt,sounds,0,24910
platz,place,0,24820
brauchst,need,0,24773
rede,speech,0,24754
papa,papa,0,24707
falsch,incorrect,0,24701
sondern,rather,0,24687
alten,old,0,24660
nummer,number,0,24641
früher,earlier,0,24599
jungen,boys,0,24498
wohin,where,0,24373
außer,except,0,24306
früh,early,0,24189
setzen,set,0,24061
zuerst,first,0,24005
wahrscheinlich,probably,0,23968
dürfen,may,0,23930
jede,every,0,23900
arsch,ass,0,23823
telefon,phone,0,23581
tue,do,0,23560
kennst,know,0,23541
willkommen,welcome,0,23375
plan,plan,0,23291
großen,big,0,23269
retten,save,0,23258
hierher,here,0,23229
wär,would be,0,23099
bring,bring,0,23068
fehler,mistake,0,22947
wollt,wanted,0,22936
dollar,dollar,0,22913
zehn,ten,0,22855
allem,everything,0,22790
pass,passport,0,22790
nächste,next,0,22714
stunde,hour,0,22665
hände,hands,0,22645
gegeben,given,0,22620
menge,crowd,0,22618
langsam,slow,0,22581
bereits,already,0,22535
wartet,waits,0,22512
sechs,six,0,22454
lieben,love,0,22407
meines,mine,0,22280
büro,office,0,22253
nächsten,next,0,22247
gebe,give,0,22215
wochen,weeks,0,22080
ruf,call,0,21947
schaffen,create,0,21929
leider,unfortunately,0,21867
scheiß,shit,0,21719
hölle,hell,0,21656
trotzdem,despite it,0,21476
doktor,doctor,0,21392
tja,well,0,21330
new,new,0,21321
voll,full,0,21320
film,film,0,21254
überall,everywhere,0,21161
hund,dog,0,21146
geworden,become,0,21015
direkt,direct,0,21011
wolltest,wanted,0,20973
tat,did,0,20923
denkt,thinks,0,20863
schiff,ship,0,20825
neues,new,0,20814
wem,whom,0,20802
könig,king,0,20785
danach,thereafter,0,20649
funktioniert,functions,0,20608
hattest,had,0,20582
lernen,learn,0,20579
deswegen,because of this,0,20564
wow,Wow,0,20470
nennen,to name,0,20467
hm,Hm,0,20416
feuer,fire,0,20404
laufen,run,0,20390
alleine,alone,0,20359
erinnern,remember,0,20326
völlig,fully,0,20317
kleines,small,0,20305
könnt,can,0,20255
stelle,place,0,20224
kumpel,buddy,0,20189
verlieren,lose,0,20125
probleme,problems,0,20116
spricht,speaks,0,20030
kaffee,coffee,0,19999
luft,air,0,19958
fand,found,0,19911
i,i,0,19718
entschuldige,sorry,0,19709
ziehen,pull,0,19643
verschwinden,disappear,0,19631
könntest,could,0,19588
seht,see,0,19586
aufhören,stop,0,19532
eigenen,own,0,19530
richtige,correct,0,19499
unserem,ours,0,19459
suche,search,0,19440
zwar,that is,0,19381
groß,large,0,19362
hol,get,0,19339
buch,book,0,19306
krank,sick,0,19265
fühle,feel,0,19176
jedes,each,0,19154
verstehst,understand,0,19139
wert,value,0,19128
arzt,physician,0,19080
froh,glad,0,19077
versuche,try,0,18964
straße,street,0,18963
rufen,call,0,18953
heiraten,marry,0,18905
super,super,0,18808
sam,Sam,0,18717
lebt,lives,0,18642
gutes,good,0,18638
lasse,let,0,18636
onkel,uncle,0,18581
total,total,0,18569
gebracht,brought,0,18552
party,party,0,18531
erklären,explain,0,18526
spielt,plays,0,18526
wahl,choice,0,18477
vertrauen,trust,0,18459
damals,at that time,0,18434
tagen,meetings,0,18366
leicht,light,0,18358
nachdem,after,0,18300
gegangen,gone,0,18296
gefühl,feeling,0,18285
kaufen,buy,0,18278
geschafft,done,0,18271
typen,types,0,18217
interessiert,interested,0,18211
möchten,want,0,18138
halte,hold,0,18121
hält,holds,0,18118
glaub,believe,0,18114
irgendwo,somewhere,0,18104
stück,piece,0,18090
genauso,just as,0,18069
kennt,knows,0,17994
genommen,taken,0,17993
zukunft,future,0,17963
weniger,fewer,0,17950
cool,cool,0,17909
licht,light,0,17780
getroffen,met,0,17775
himmel,heaven,0,17755
nachricht,news,0,17710
drüben,over,0,17704
passt,fits,0,17667
sagten,said,0,17649
kümmern,take care,0,17618
laut,loud,0,17612
vergiss,forget,0,17602
angerufen,called,0,17582
sitzen,sit,0,17556
daß,that,0,17517
erde,earth,0,17474
großer,big one,0,17433
schlüssel,key,0,17425
rest,rest,0,17407
passieren,happen,0,17383
eher,rather,0,17329
gefragt,asked,0,17247
gefängnis,jail,0,17175
opfer,victim,0,17150
körper,body,0,17147
solche,such,0,17138
mist,crap,0,17132
mr,mr,0,17083
findet,finds,0,17000
schreiben,write,0,16942
böse,evil,0,16940
gesprochen,spoken,0,16898
versuch,attempt,0,16884
vorstellen,introduce,0,16820
wovon,from what,0,16791
sobald,as soon as,0,16778
nochmal,again,0,16749
herren,gentlemen,0,16748
sex,sex,0,16739
waffen,weapons,0,16732
wohnung,apartment,0,16722
weh,sore,0,16694
heißen,be called,0,16650
krankenhaus,hospital,0,16645
bringe,bring,0,16621
höre,listen,0,16609
millionen,million,0,16605
klasse,class,0,16595
hart,hard,0,16572
worden,been,0,16568
sinn,sense,0,16557
außerdem,aside from that,0,16556
verletzt,injured,0,16552
ändern,change,0,16487
erfahren,experience,0,16462
tragen,carry,0,16425
wenigstens,at least,0,16418
vorsichtig,cautious,0,16349
daddy,daddy,0,16329
stolz,proud,0,16247
stark,strong,0,16208
fällt,falls,0,16206
möchtest,would like,0,16205
leuten,people,0,16172
besonders,particularly,0,16170
schöne,beautiful,0,16144
schicken,send,0,16123
person,person,0,16074
schätze,guess,0,16063
solange,as long as,0,16060
länger,longer,0,15996
großartig,great,0,15979
lacht,laughs,0,15975
anrufen,call,0,15965
stand,stood,0,15933
redest,talk,0,15893
fühlen,feel,0,15884
erwartet,expected,0,15879
boden,floor,0,15878
boss,boss,0,15863
stimme,agree,0,15843
glaubt,believes,0,15840
still,silent,0,15835
sicherheit,security,0,15829
setz,put,0,15786
ma,ma,0,15762
mund,mouth,0,15761
kämpfen,battle,0,15639
wisst,know,0,15636
lachen,laugh,0,15635
hörst,hear,0,15623
zeug,things,0,15621
lustig,funny,0,15572
umbringen,kill,0,15552
sollst,you should,0,15551
hasse,hate,0,15536
schlimm,terrible,0,15521
o,O,0,15521
unglaublich,incredible,0,15444
wärst,would be,0,15430
laden,load,0,15400
führen,lead,0,15362
gestorben,died,0,15359
schauen,look,0,15350
meinung,opinion,0,15337
lesen,read,0,15312
mörder,murderer,0,15310
frank,frank,0,15303
ähm,um,0,15268
geschehen,happen,0,15259
geschäft,business,0,15254
idiot,idiot,0,15243
verzeihung,forgiveness,0,15194
fliegen,fly,0,15169
zeig,show,0,15162
team,team,0,15159
general,general,0,15146
mike,Mike,0,15058
aufs,ons,0,15026
york,York,0,15009
vorher,previously,0,15005
schluss,ending,0,15005
schneller,faster,0,14990
liebt,loves,0,14978
verdient,earned,0,14961
mögen,like,0,14944
meisten,most,0,14891
denk,think,0,14888
umgebracht,killed,0,14878
perfekt,perfect,0,14848
versprochen,promised,0,14822
handy,cell phone,0,14818
hinten,rear,0,14804
monate,months,0,14786
erinnere,remember,0,14769
acht,eight,0,14757
arbeitet,works,0,14747
fallen,fall,0,14704
rufe,shout,0,14701
nötig,necessary,0,14694
a,a,0,14676
mord,murder,0,14671
heraus,out of here,0,14613
tages,day,0,14578
unmöglich,impossible,0,14555
liebling,darling,0,14521
charlie,charlie,0,14515
tatsächlich,actually,0,14483
folgen,consequences,0,14452
bitten,ask,0,14438
behalten,keep,0,14372
nähe,vicinity,0,14368
arbeite,work,0,14361
joe,joe,0,14326
verdammte,damn,0,14325
plötzlich,suddenly,0,14269
lebens,life,0,14235
hole,fetch,0,14206
tisch,table,0,14201
michael,Michael,0,14165
hörte,heard,0,14154
jemals,ever,0,14154
liegen,lay,0,14099
verkaufen,sell,0,14061
gefährlich,dangerous,0,14049
anfangen,begin,0,14033
bekommt,receives,0,14023
machte,made,0,13967
ha,Ha,0,13954
hotel,hotel,0,13914
hilft,helps,0,13897
werdet,will,0,13891
meister,master,0,13869
kampf,battle,0,13849
antwort,answer,0,13848
konnten,could,0,13846
geschickt,sent,0,13831
jedem,everyone,0,13818
obwohl,although,0,13796
sieben,seven,0,13791
komisch,funny,0,13783
gewinnen,win,0,13778
ihres,hers,0,13762
bezahlt,paid,0,13728
you,you,0,13710
voller,fuller,0,13701
unterwegs,on the way,0,13693
dumm,dumb,0,13687
ärger,aggravation,0,13682
bild,picture,0,13679
george,george,0,13673
neu,new,0,13659
bezahlen,pay,0,13651
dagegen,against it,0,13607
seien,be,0,13594
starb,died,0,13560
tom,tom,0,13560
monaten,months,0,13557
leiche,corpse,0,13500
niemanden,nobody,0,13495
auge,eye,0,13475
arschloch,asshole,0,13441
verheiratet,married,0,13411
peter,Peter,0,13405
zieh,pull,0,13387
nimmt,takes,0,13374
gerettet,saved,0,13362
agent,agent,0,13322
traum,dream,0,13300
entscheidung,decision,0,13275
schlimmer,worse,0,13255
regeln,regulate,0,13246
fenster,window,0,13233
fangen,catch,0,13232
fort,continued,0,13175
ständig,constant,0,13119
findest,find,0,13083
gefahr,danger,0,13071
absolut,absolutely,0,13045
mary,mary,0,13042
augenblick,moment,0,13032
bescheid,notice,0,13023
rum,rum,0,12996
gedanken,thoughts,0,12995
werd,will,0,12947
ziel,goal,0,12939
benutzt,used,0,12902
bewegung,movement,0,12855
jemandem,someone,0,12815
wünschte,wished,0,12812
worte,words,0,12811
kamen,came,0,12804
welcher,which,0,12787
zahlen,pay,0,12786
anfang,beginning,0,12784
legen,place,0,12779
erinnerst,remember,0,12746
anwalt,attorney,0,12728
fahr,drive,0,12721
sitzt,sits,0,12675
hilf,help,0,12662
offen,open,0,12623
schönen,beautiful,0,12585
monsieur,monsieur,0,12579
müsste,would have to,0,12576
arme,poor,0,12576
bier,beer,0,12543
fürs,for,0,12485
partner,partner,0,12484
klein,small,0,12473
david,David,0,12453
klappe,flap,0,12451
süß,sweet,0,12416
herum,around,0,12404
finger,finger,0,12399
ehe,before,0,12381
rolle,role,0,12375
ließ,let,0,12333
gleiche,same,0,12325
monat,month,0,12325
hochzeit,wedding,0,12310
max,max,0,12310
führt,leads,0,12305
paris,Paris,0,12301
wach,awake,0,12280
wozu,for what reason,0,12270
arm,arm,0,12247
geschrieben,written,0,12221
chef,boss,0,12195
benutzen,use,0,12191
informationen,information,0,12168
erledigt,completed,0,12166
hoffentlich,hopefully,0,12163
müsst,must,0,12162
fühlt,feels,0,12151
tanzen,dance,0,12149
ansehen,view,0,12148
darfst,may,0,12146
zuhause,at home,0,12137
wunderbar,wonderful,0,12104
hältst,hold,0,12043
reise,trip,0,12030
gewonnen,won,0,12026
dame,lady,0,12010
irgendwann,sometime,0,11991
chffffff,chffffff,0,11990
alex,alex,0,11988
steckt,stuck,0,11978
jedenfalls,anyway,0,11973
schreit,screams,0,11962
tolle,great,0,11960
rüber,over,0,11953
tschüss,bye,0,11927
nennt,calls,0,11927
raum,space,0,11906
heiß,hot,0,11903
foto,photo,0,11901
kalt,cold,0,11893
paul,paul,0,11876
irgendetwas,anything,0,11872
weile,while,0,11866
bisher,until now,0,11864
minute,minute,0,11833
unbedingt,absolutely,0,11830
zug,train,0,11819
sekunden,seconds,0,11789
wofür,for what,0,11771
erzähl,tell,0,11759
nen,nen,0,11732
beweise,proofs,0,11714
nahm,took,0,11707
aller,all,0,11704
freut,happy,0,11693
seele,soul,0,11638
schießen,shoot,0,11613
müde,tired,0,11612
dauert,lasts,0,11606
magst,like,0,11603
harry,Harry,0,11596
brief,letter,0,11573
gelernt,learned,0,11562
sucht,seeks,0,11523
bekannt,known,0,11523
weitere,more,0,11505
unfall,accident,0,11449
dahin,there,0,11442
kontrolle,control,0,11436
beispiel,example,0,11436
lady,lady,0,11422
dasselbe,same,0,11414
herzen,hearts,0,11392
schlagen,hit,0,11391
wütend,angry,0,11387
weise,way,0,11381
damen,ladies,0,11371
darin,in it,0,11359
gottes,God,0,11340
holt,fetch,0,11336
fehlt,missing,0,11325
vorsicht,caution,0,11286
heiße,hot,0,11271
beweisen,prove,0,11270
gehabt,had,0,11266
zumindest,at least,0,11261
vermisst,missing,0,11248
hübsch,pretty,0,11244
kriegt,gets,0,11231
verbindung,connection,0,11226
tief,deep,0,11225
richtung,direction,0,11223
lage,location,0,11222
sowieso,anyway,0,11215
kraft,power,0,11202
normal,normal,0,11201
lauf,run,0,11188
ehre,honor,0,11187
stell,put,0,11179
geschenk,gift,0,11166
bar,bear,0,11161
tasche,bag,0,11149
gelesen,read,0,11141
gekauft,bought,0,11123
wussten,knew,0,11118
gestohlen,stolen,0,11108
hunger,hunger,0,11083
leg,leg,0,11081
lügen,lie,0,11069
beziehung,relationship,0,11054
ben,ben,0,11045
verschwunden,disappeared,0,11033
steh,stand,0,10978
nächstes,next,0,10971
gearbeitet,worked,0,10961
preis,price,0,10954
witz,joke,0,10935
meinte,said,0,10934
liste,list,0,10890
geist,spirit,0,10882
neben,next to,0,10880
gesucht,wanted,0,10874
firma,company,0,10871
süße,sweetness,0,10869
rücken,back,0,10852
schrecklich,terrible,0,10850
letzter,last,0,10837
verliebt,in love,0,10825
öffnen,open,0,10809
redet,talks,0,10804
boot,boat,0,10787
seltsam,strange,0,10778
versteckt,hidden,0,10773
fürchte,fear,0,10771
verschwinde,disappear,0,10769
erwischt,caught,0,10767
verkauft,sold,0,10764
tante,aunt,0,10757
erwarten,expect,0,10755
pferd,horse,0,10723
wunder,wonder,0,10720
sauer,sour,0,10704
vermutlich,allegedly,0,10690
näher,closer,0,10689
major,major,0,10686
jung,young,0,10671
majestät,majesty,0,10660
aussehen,look,0,10647
ans,ans,0,10646
de,de,0,10624
and,and,0,10618
links,left,0,10601
großes,big,0,10593
welches,which,0,10579
beschützen,protect,0,10577
geboren,born,0,10558
erreichen,to reach,0,10556
punkt,point,0,10553
kindern,children,0,10540
kirche,church,0,10507
verraten,betrayed,0,10465
selber,himself,0,10450
befehl,command,0,10449
colonel,colonel,0,10446
fährt,drives,0,10441
zieht,pulls,0,10418
geburtstag,birthday,0,10417
haut,skin,0,10413
wette,bet,0,10412
reich,rich,0,10412
sekunde,second,0,10410
fahre,drive,0,10409
schwöre,swear,0,10398
geredet,talked,0,10392
james,james,0,10388
madame,madame,0,10377
eigene,own,0,10375
zeiten,times,0,10374
traurig,sad,0,10364
anruf,call,0,10355
nachrichten,news,0,10341
frieden,peace,0,10335
karte,map,0,10309
güte,quality,0,10288
euren,yours,0,10288
